Method,Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Wind onshore,0.16757811796335548,0.16757811796335548,0.007215706607433059,0.0,0.0,0.22772769171796622
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Wind onshore,0.13458070896288565,0.13458070896288565,0.003983062869229989,0.0,0.0,0.005436443657914177
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Wind onshore,0.1458854802722054,0.1458854802722054,0.004180122534484107,0.0,0.0,0.0815924752828935
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Wind onshore,0.14096084592554486,0.14096084592554486,0.004218718333703076,0.0,0.0,0.04841704883826007
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Wind onshore,0.13839269495667172,0.13839269495667172,0.004206078678769304,0.0,0.0,0.031116372773987457
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Wind onshore,0.1391933660843497,0.1391933660843497,0.003970183123651724,0.0,0.0,0.03651019579368739
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Wind onshore,0.13857826202959833,0.13857826202959833,0.004315399927502209,0.0,0.0,0.03236646899333361
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Wind onshore,0.13761626800293458,0.13761626800293458,0.004708856169366139,0.0,0.0,0.025885873719615156
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Wind onshore,0.149684471995533,0.149684471995533,0.005552884396200954,0.0,0.0,0.10718486684116023
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Wind onshore,0.13854209198246795,0.13854209198246795,0.005490980655582783,0.0,0.0,0.032122804864465504
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Wind onshore,0.1427541011538281,0.1427541011538281,0.005908486527627222,0.0,0.0,0.06049754106053185
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Wind onshore,0.14133525754326232,0.14133525754326232,0.004796510293352029,0.0,0.0,0.05093932038356263
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Wind onshore,0.13854984630103143,0.13854984630103143,0.004297670715985597,0.0,0.0,0.032175042819006315
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Wind onshore,0.13993431460266095,0.13993431460266095,0.0038948379791547937,0.0,0.0,0.0415016898495179
