Method,Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 TAI01_01,0.18185653673478988,0.18185653673478988,0.006426703233626663,0.0,0.0,0.0812912497993926
Delta_4000,CO2 Cap,techStocks 2050 Res01_01,0.07084051190737693,0.07084051190737693,0.006663779155707805,0.0,0.0,0.04148686153084473
Delta_4000,Buildings demand,techStocks 2050 Res01_01,0.8924315135289818,0.8924315135289818,0.0021443360980836273,0.0,0.0,1.0
Delta_4000,Steel Production,techStocks 2050 Res01_01,0.05855768932998932,0.05855768932998932,0.007397572213879178,0.0,0.0,0.027157046824166704
Delta_4000,Chemical Production,techStocks 2050 Res01_01,0.05053511613812136,0.05053511613812136,0.007139854912855114,0.0,0.0,0.017797472786040273
Delta_4000,Passenger Cars,techStocks 2050 Res01_01,0.048878664909969734,0.048878664909969734,0.0068826226522288635,0.0,0.0,0.01586496590331768
Delta_4000,Bunker aviation,techStocks 2050 Res01_01,0.035279985138071304,0.035279985138071304,0.00739495069128331,0.0,0.0,0.0
Delta_4000,Bunker navigation,techStocks 2050 Res01_01,0.03909638115246331,0.03909638115246331,0.006001340496088794,0.0,0.0,0.004452416974109987
Delta_4000,Agriculture neGHG CH4,techStocks 2050 Res01_01,0.04454086426796804,0.04454086426796804,0.007978673150996717,0.0,0.0,0.010804249684162314
Delta_4000,Agriculture neGHG N2O,techStocks 2050 Res01_01,0.04976032087780658,0.04976032087780658,0.007141061714251637,0.0,0.0,0.0168935541267931
Delta_4000,Wind offshore Costs,techStocks 2050 Res01_01,0.04401753491951593,0.04401753491951593,0.008010595760893885,0.0,0.0,0.010193704954183787
Delta_4000,Wind offshore Potential,techStocks 2050 Res01_01,0.048427773775002105,0.048427773775002105,0.008303967078461962,0.0,0.0,0.01533893156745869
Delta_4000,Solar PV Costs,techStocks 2050 Res01_01,0.06830523424750239,0.06830523424750239,0.007797405572238984,0.0,0.0,0.03852906751671761
Delta_4000,Solar PV Potential,techStocks 2050 Res01_01,0.05098880911652185,0.05098880911652185,0.007175198090186323,0.0,0.0,0.018326775906169088
Delta_4000,Nuclear Costs,techStocks 2050 Res01_01,0.04502268984985742,0.04502268984985742,0.007429568701432604,0.0,0.0,0.011366373842995563
Delta_4000,Nuclear Potential,techStocks 2050 Res01_01,0.05263487736389956,0.05263487736389956,0.00757277969067672,0.0,0.0,0.020247169433866338
Delta_4000,Hydrogen Import Potential,techStocks 2050 Res01_01,0.049922474403261044,0.049922474403261044,0.007294410981054295,0.0,0.0,0.017082731326020482
Delta_4000,Hydrogen Import Price,techStocks 2050 Res01_01,0.06177388815935822,0.06177388815935822,0.007922378478980427,0.0,0.0,0.030909240832857933
Delta_4000,Biomass Import Potential,techStocks 2050 Res01_01,0.03879142310985757,0.03879142310985757,0.008119467055244712,0.0,0.0,0.004096636190310625
Delta_4000,Biomass Import Price,techStocks 2050 Res01_01,0.03708928700088171,0.03708928700088171,0.007682565570422649,0.0,0.0,0.00211083081915157
Delta_4000,Ammonia Import Potential,techStocks 2050 Res01_01,0.06173652915892476,0.06173652915892476,0.009097950847231655,0.0,0.0,0.030865655773278572
Delta_4000,Ammonia Import Price,techStocks 2050 Res01_01,0.048062447249288834,0.048062447249288834,0.007547985474296352,0.0,0.0,0.014912721599194292
Delta_4000,CCS potential,techStocks 2050 Res01_01,0.06333698917010429,0.06333698917010429,0.006811235704219091,0.0,0.0,0.032732840230365164
Delta_4000,Flexibility Costs,techStocks 2050 Res01_01,0.05184069788368289,0.05184069788368289,0.008026419262134,0.0,0.0,0.01932063608018085
Delta_4000,LNG Import Price,techStocks 2050 Res01_01,0.06775295697174406,0.06775295697174406,0.007488919648737602,0.0,0.0,0.03788475054653722
Delta_4000,Electricity Trade Price,techStocks 2050 Res01_01,0.06701860682922532,0.06701860682922532,0.00898391465026541,0.0,0.0,0.03702801738070212
Delta_4000,Weather Conditions,techStocks 2050 Res01_01,0.0507106324564315,0.0507106324564315,0.0062796118093057475,0.0,0.0,0.018002239752552752
Delta_4000,Electricity Trade Ratio,techStocks 2050 Res01_01,0.05405003497410579,0.05405003497410579,0.0069560215978319495,0.0,0.0,0.021898169943499492
Delta_4000,Electricity Trade Volume,techStocks 2050 Res01_01,0.05457704764513425,0.05457704764513425,0.007663001117470148,0.0,0.0,0.02251301183967833
Delta_4000,WACC,techStocks 2050 Res01_01,0.05381876115375299,0.05381876115375299,0.007573741958348187,0.0,0.0,0.021628353216010292
Delta_4000,Bunker Emission Reduction,techStocks 2050 Res01_01,0.0606126923372548,0.0606126923372548,0.007350899370250429,0.0,0.0,0.029554526078649567
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 Res01_01,0.060051608643422696,0.060051608643422696,0.006993663885682002,0.0,0.0,0.028899935057986742
Delta_4000,CO2 Cap,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Buildings demand,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Steel Production,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Chemical Production,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Passenger Cars,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Bunker aviation,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Bunker navigation,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Agriculture neGHG CH4,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Agriculture neGHG N2O,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Wind offshore Costs,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Wind offshore Potential,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Solar PV Costs,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Solar PV Potential,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Nuclear Costs,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Nuclear Potential,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Hydrogen Import Potential,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Hydrogen Import Price,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Biomass Import Potential,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Biomass Import Price,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Ammonia Import Potential,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Ammonia Import Price,techStocks 2050 TNB01_08,,,,,,
Delta_4000,CCS potential,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Flexibility Costs,techStocks 2050 TNB01_08,,,,,,
Delta_4000,LNG Import Price,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Electricity Trade Price,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Weather Conditions,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Electricity Trade Ratio,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Electricity Trade Volume,techStocks 2050 TNB01_08,,,,,,
Delta_4000,WACC,techStocks 2050 TNB01_08,,,,,,
Delta_4000,Bunker Emission Reduction,techStocks 2050 TNB01_08,,,,,,
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 TNB01_08,,,,,,
Delta_4000,CO2 Cap,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Buildings demand,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Steel Production,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Chemical Production,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Passenger Cars,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Bunker aviation,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Bunker navigation,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Agriculture neGHG CH4,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Agriculture neGHG N2O,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Wind offshore Costs,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Wind offshore Potential,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Solar PV Costs,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Solar PV Potential,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Nuclear Costs,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Nuclear Potential,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Hydrogen Import Potential,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Hydrogen Import Price,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Biomass Import Potential,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Biomass Import Price,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Ammonia Import Potential,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Ammonia Import Price,techStocks 2050 TNB01_09,,,,,,
Delta_4000,CCS potential,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Flexibility Costs,techStocks 2050 TNB01_09,,,,,,
Delta_4000,LNG Import Price,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Electricity Trade Price,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Weather Conditions,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Electricity Trade Ratio,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Electricity Trade Volume,techStocks 2050 TNB01_09,,,,,,
Delta_4000,WACC,techStocks 2050 TNB01_09,,,,,,
Delta_4000,Bunker Emission Reduction,techStocks 2050 TNB01_09,,,,,,
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 TNB01_09,,,,,,
Delta_4000,CO2 Cap,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Buildings demand,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Steel Production,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Chemical Production,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Passenger Cars,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Bunker aviation,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Bunker navigation,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Agriculture neGHG CH4,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Agriculture neGHG N2O,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Wind offshore Costs,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Wind offshore Potential,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Solar PV Costs,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Solar PV Potential,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Nuclear Costs,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Nuclear Potential,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Hydrogen Import Potential,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Hydrogen Import Price,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Biomass Import Potential,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Biomass Import Price,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Ammonia Import Potential,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Ammonia Import Price,techStocks 2050 TNB01_10,,,,,,
Delta_4000,CCS potential,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Flexibility Costs,techStocks 2050 TNB01_10,,,,,,
Delta_4000,LNG Import Price,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Electricity Trade Price,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Weather Conditions,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Electricity Trade Ratio,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Electricity Trade Volume,techStocks 2050 TNB01_10,,,,,,
Delta_4000,WACC,techStocks 2050 TNB01_10,,,,,,
Delta_4000,Bunker Emission Reduction,techStocks 2050 TNB01_10,,,,,,
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 TNB01_10,,,,,,
Delta_4000,CO2 Cap,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Buildings demand,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Steel Production,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Chemical Production,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Passenger Cars,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Bunker aviation,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Bunker navigation,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Agriculture neGHG CH4,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Agriculture neGHG N2O,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Wind offshore Costs,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Wind offshore Potential,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Solar PV Costs,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Solar PV Potential,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Nuclear Costs,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Nuclear Potential,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Hydrogen Import Potential,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Hydrogen Import Price,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Biomass Import Potential,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Biomass Import Price,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Ammonia Import Potential,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Ammonia Import Price,techStocks 2050 TNI01_02,,,,,,
Delta_4000,CCS potential,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Flexibility Costs,techStocks 2050 TNI01_02,,,,,,
Delta_4000,LNG Import Price,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Electricity Trade Price,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Weather Conditions,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Electricity Trade Ratio,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Electricity Trade Volume,techStocks 2050 TNI01_02,,,,,,
Delta_4000,WACC,techStocks 2050 TNI01_02,,,,,,
Delta_4000,Bunker Emission Reduction,techStocks 2050 TNI01_02,,,,,,
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 TNI01_02,,,,,,
Delta_4000,CO2 Cap,techStocks 2050 TAI01_02,0.06262734183994803,0.06262734183994803,0.008120412781144634,0.0,0.0,0.03251453360479819
Delta_4000,Buildings demand,techStocks 2050 TAI01_02,0.05915308177459482,0.05915308177459482,0.0075999059268279726,0.0,0.0,0.0182865855349516
Delta_4000,Steel Production,techStocks 2050 TAI01_02,0.06527015123623067,0.06527015123623067,0.007513694048459871,0.0,0.0,0.043337487022647544
Delta_4000,Chemical Production,techStocks 2050 TAI01_02,0.05468776087632751,0.05468776087632751,0.007444930515653759,0.0,0.0,0.0
Delta_4000,Passenger Cars,techStocks 2050 TAI01_02,0.06936644989546026,0.06936644989546026,0.007567585823594869,0.0,0.0,0.06011283587557677
Delta_4000,Bunker aviation,techStocks 2050 TAI01_02,0.13463230399694254,0.13463230399694254,0.010670753569086745,0.0,0.0,0.32739253440777866
Delta_4000,Bunker navigation,techStocks 2050 TAI01_02,0.07839787058754163,0.07839787058754163,0.008078886403385575,0.0,0.0,0.09709872126893404
Delta_4000,Agriculture neGHG CH4,techStocks 2050 TAI01_02,0.07166449126912522,0.07166449126912522,0.007670303462279885,0.0,0.0,0.06952387958325036
Delta_4000,Agriculture neGHG N2O,techStocks 2050 TAI01_02,0.059633820645149174,0.059633820645149174,0.007841072111968071,0.0,0.0,0.020255329254978402
Delta_4000,Wind offshore Costs,techStocks 2050 TAI01_02,0.06519149256937637,0.06519149256937637,0.008041434232313217,0.0,0.0,0.043015360467296364
Delta_4000,Wind offshore Potential,techStocks 2050 TAI01_02,0.06731409566007619,0.06731409566007619,0.00719126473391025,0.0,0.0,0.05170794132747519
Delta_4000,Solar PV Costs,techStocks 2050 TAI01_02,0.058444264481489504,0.058444264481489504,0.006354762963735653,0.0,0.0,0.015383804670075153
Delta_4000,Solar PV Potential,techStocks 2050 TAI01_02,0.07519284583267438,0.07519284583267438,0.0070741446205905,0.0,0.0,0.08397335790607707
Delta_4000,Nuclear Costs,techStocks 2050 TAI01_02,0.06004936405940806,0.06004936405940806,0.007354926597571817,0.0,0.0,0.021957081572774775
Delta_4000,Nuclear Potential,techStocks 2050 TAI01_02,0.08480711060659481,0.08480711060659481,0.008809305471086045,0.0,0.0,0.12334613293153802
Delta_4000,Hydrogen Import Potential,techStocks 2050 TAI01_02,0.06652227157925675,0.06652227157925675,0.005808576171351396,0.0,0.0,0.048465227284648436
Delta_4000,Hydrogen Import Price,techStocks 2050 TAI01_02,0.06136803615349683,0.06136803615349683,0.00816905433379718,0.0,0.0,0.027357367597115146
Delta_4000,Biomass Import Potential,techStocks 2050 TAI01_02,0.08897522202183893,0.08897522202183893,0.009374304379655756,0.0,0.0,0.14041557265392077
Delta_4000,Biomass Import Price,techStocks 2050 TAI01_02,0.11308317943841255,0.11308317943841255,0.011251813412339997,0.0,0.0,0.23914357796753874
Delta_4000,Ammonia Import Potential,techStocks 2050 TAI01_02,0.07192052629969724,0.07192052629969724,0.010579950739757057,0.0,0.0,0.07057240590267254
Delta_4000,Ammonia Import Price,techStocks 2050 TAI01_02,0.09172950810256135,0.09172950810256135,0.00978447428099639,0.0,0.0,0.151695050467576
Delta_4000,CCS potential,techStocks 2050 TAI01_02,0.10340779346524188,0.10340779346524188,0.00977623615294989,0.0,0.0,0.19952049662287866
Delta_4000,Flexibility Costs,techStocks 2050 TAI01_02,0.05759311357734462,0.05759311357734462,0.007496169628107296,0.0,0.0,0.011898132718069098
Delta_4000,LNG Import Price,techStocks 2050 TAI01_02,0.08679080495572694,0.08679080495572694,0.00843289926349046,0.0,0.0,0.131469848386049
Delta_4000,Electricity Trade Price,techStocks 2050 TAI01_02,0.061554922406161686,0.061554922406161686,0.007282378761526655,0.0,0.0,0.02812271269157154
Delta_4000,Weather Conditions,techStocks 2050 TAI01_02,0.057737572816138664,0.057737572816138664,0.0076356945011760565,0.0,0.0,0.012489728772799762
Delta_4000,Electricity Trade Ratio,techStocks 2050 TAI01_02,0.05960829863633676,0.05960829863633676,0.007680284315767808,0.0,0.0,0.020150810361979438
Delta_4000,Electricity Trade Volume,techStocks 2050 TAI01_02,0.06332666549027761,0.06332666549027761,0.007769668114872544,0.0,0.0,0.0353784356713504
Delta_4000,WACC,techStocks 2050 TAI01_02,0.0680279012794732,0.0680279012794732,0.00799505537096402,0.0,0.0,0.05463115061339627
Delta_4000,Bunker Emission Reduction,techStocks 2050 TAI01_02,0.2988733629250332,0.2988733629250332,0.011561299069959088,0.0,0.0,1.0
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 TAI01_02,0.05624542244453561,0.05624542244453561,0.007169446660723799,0.0,0.0,0.0063790066045638786
Delta_4000,CO2 Cap,techStocks 2050 TAI01_05,0.09241981858230679,0.09241981858230679,0.004632165451729568,0.0,0.0,0.06633354708033805
Delta_4000,Buildings demand,techStocks 2050 TAI01_05,0.0932915966869602,0.0932915966869602,0.0046624400294577725,0.0,0.0,0.07086757520408646
Delta_4000,Steel Production,techStocks 2050 TAI01_05,0.09934869975023237,0.09934869975023237,0.004616079588326496,0.0,0.0,0.10236994431696628
Delta_4000,Chemical Production,techStocks 2050 TAI01_05,0.09071913344879348,0.09071913344879348,0.004648705989914566,0.0,0.0,0.057488458882056545
Delta_4000,Passenger Cars,techStocks 2050 TAI01_05,0.09690142081350325,0.09690142081350325,0.004627668168550883,0.0,0.0,0.08964189865195353
Delta_4000,Bunker aviation,techStocks 2050 TAI01_05,0.09978005698194642,0.09978005698194642,0.004889158318929997,0.0,0.0,0.10461338884663966
Delta_4000,Bunker navigation,techStocks 2050 TAI01_05,0.0976902372884212,0.0976902372884212,0.004043917125271952,0.0,0.0,0.0937444518850104
Delta_4000,Agriculture neGHG CH4,techStocks 2050 TAI01_05,0.09446441283444534,0.09446441283444534,0.004458998261279721,0.0,0.0,0.07696727117981637
Delta_4000,Agriculture neGHG N2O,techStocks 2050 TAI01_05,0.09289172551246848,0.09289172551246848,0.004148288971088434,0.0,0.0,0.0687878864147671
Delta_4000,Wind offshore Costs,techStocks 2050 TAI01_05,0.08632978871870176,0.08632978871870176,0.004849891851350805,0.0,0.0,0.03465992907059176
Delta_4000,Wind offshore Potential,techStocks 2050 TAI01_05,0.09547174419886803,0.09547174419886803,0.004262833059825624,0.0,0.0,0.08220629784479792
Delta_4000,Solar PV Costs,techStocks 2050 TAI01_05,0.08957568123952137,0.08957568123952137,0.004577044368685187,0.0,0.0,0.051541481724304734
Delta_4000,Solar PV Potential,techStocks 2050 TAI01_05,0.09255254934062904,0.09255254934062904,0.004634268620878381,0.0,0.0,0.06702386608228039
Delta_4000,Nuclear Costs,techStocks 2050 TAI01_05,0.08942221476408736,0.08942221476408736,0.004582430862456659,0.0,0.0,0.05074331839357169
Delta_4000,Nuclear Potential,techStocks 2050 TAI01_05,0.09554139079641581,0.09554139079641581,0.004724709501062697,0.0,0.0,0.08256852262461224
Delta_4000,Hydrogen Import Potential,techStocks 2050 TAI01_05,0.07966556731382832,0.07966556731382832,0.004328735773318065,0.0,0.0,0.0
Delta_4000,Hydrogen Import Price,techStocks 2050 TAI01_05,0.09835693323286611,0.09835693323286611,0.005418391428253321,0.0,0.0,0.09721186881824935
Delta_4000,Biomass Import Potential,techStocks 2050 TAI01_05,0.10526895363479687,0.10526895363479687,0.005862851037935613,0.0,0.0,0.13316057494770198
Delta_4000,Biomass Import Price,techStocks 2050 TAI01_05,0.11270726223235546,0.11270726223235546,0.0076966672078577535,0.0,0.0,0.1718464517716653
Delta_4000,Ammonia Import Potential,techStocks 2050 TAI01_05,0.09172373704509747,0.09172373704509747,0.004880507376754327,0.0,0.0,0.06271329870602976
Delta_4000,Ammonia Import Price,techStocks 2050 TAI01_05,0.10012874785701265,0.10012874785701265,0.005233797718850033,0.0,0.0,0.10642689417053541
Delta_4000,CCS potential,techStocks 2050 TAI01_05,0.11582916531160706,0.11582916531160706,0.006566637226082717,0.0,0.0,0.18808314811146487
Delta_4000,Flexibility Costs,techStocks 2050 TAI01_05,0.08707998021799936,0.08707998021799936,0.005200463893430065,0.0,0.0,0.038561597784059355
Delta_4000,LNG Import Price,techStocks 2050 TAI01_05,0.09878516916500785,0.09878516916500785,0.005551013457386614,0.0,0.0,0.0994390797903604
Delta_4000,Electricity Trade Price,techStocks 2050 TAI01_05,0.11063667089079329,0.11063667089079329,0.005119763561872181,0.0,0.0,0.16107751948795632
Delta_4000,Weather Conditions,techStocks 2050 TAI01_05,0.09100859462519248,0.09100859462519248,0.004901256403894697,0.0,0.0,0.058993916644210505
Delta_4000,Electricity Trade Ratio,techStocks 2050 TAI01_05,0.10139326775114013,0.10139326775114013,0.004610882253416445,0.0,0.0,0.11300353188649725
Delta_4000,Electricity Trade Volume,techStocks 2050 TAI01_05,0.09925533956554088,0.09925533956554088,0.0051126739310065755,0.0,0.0,0.1018843876130641
Delta_4000,WACC,techStocks 2050 TAI01_05,0.09031606047621824,0.09031606047621824,0.004767226676124878,0.0,0.0,0.055392117870709856
Delta_4000,Bunker Emission Reduction,techStocks 2050 TAI01_05,0.2719400924953554,0.2719400924953554,0.027876002334368995,0.0,0.0,1.0
Delta_4000,End-of-Life Emission Reduction,techStocks 2050 TAI01_05,0.09822901581098066,0.09822901581098066,0.004541183974205024,0.0,0.0,0.0965465834833113
Delta_4000,CO2 Cap,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Buildings demand,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Steel Production,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Chemical Production,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Passenger Cars,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Bunker aviation,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Bunker navigation,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Agriculture neGHG CH4,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Agriculture neGHG N2O,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Wind offshore Costs,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Wind offshore Potential,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Solar PV Costs,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Solar PV Potential,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Nuclear Costs,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Nuclear Potential,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Hydrogen Import Potential,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Hydrogen Import Price,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Biomass Import Potential,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Biomass Import Price,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Ammonia Import Potential,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Ammonia Import Price,techStocks 2050 TNI01_04,,,,,,
Delta_4000,CCS potential,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Flexibility Costs,techStocks 2050 TNI01_04,,,,,,
Delta_4000,LNG Import Price,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Electricity Trade Price,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Weather Conditions,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Electricity Trade Ratio,techStocks 2050 TNI01_04,,,,,,
Delta_4000,Electricity Trade Volume,techStocks 2050 TNI01_04,,,,,,
