Parameter,Outcome,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm
Buildings demand,comPrices 2050 Syn Kerosene,,,,,,
Steel Production,comPrices 2050 Syn Kerosene,,,,,,
Chemical Production,comPrices 2050 Syn Kerosene,,,,,,
Passenger Cars,comPrices 2050 Syn Kerosene,,,,,,
Bunker aviation,comPrices 2050 Syn Kerosene,,,,,,
Bunker navigation,comPrices 2050 Syn Kerosene,,,,,,
Agriculture neGHG CH4,comPrices 2050 Syn Kerosene,,,,,,
Agriculture neGHG N2O,comPrices 2050 Syn Kerosene,,,,,,
Wind offshore Costs,comPrices 2050 Syn Kerosene,,,,,,
Wind offshore Potential,comPrices 2050 Syn Kerosene,,,,,,
Solar PV Costs,comPrices 2050 Syn Kerosene,,,,,,
Solar PV Potential,comPrices 2050 Syn Kerosene,,,,,,
Nuclear Costs,comPrices 2050 Syn Kerosene,,,,,,
Nuclear Potential,comPrices 2050 Syn Kerosene,,,,,,
Hydrogen Import Potential,comPrices 2050 Syn Kerosene,,,,,,
Hydrogen Import Price,comPrices 2050 Syn Kerosene,,,,,,
Biomass Import Potential,comPrices 2050 Syn Kerosene,,,,,,
Biomass Import Price,comPrices 2050 Syn Kerosene,,,,,,
Ammonia Import Potential,comPrices 2050 Syn Kerosene,,,,,,
Ammonia Import Price,comPrices 2050 Syn Kerosene,,,,,,
CCS potential,comPrices 2050 Syn Kerosene,,,,,,
Flexibility Costs,comPrices 2050 Syn Kerosene,,,,,,
LNG Price,comPrices 2050 Syn Kerosene,,,,,,
Electricity Trade Price,comPrices 2050 Syn Kerosene,,,,,,
Weather Conditions,comPrices 2050 Syn Kerosene,,,,,,
Electricity Trade Ratio,comPrices 2050 Syn Kerosene,,,,,,
Electricity Trade Volume,comPrices 2050 Syn Kerosene,,,,,,
WACC,comPrices 2050 Syn Kerosene,,,,,,
Bunker Emission Reduction,comPrices 2050 Syn Kerosene,,,,,,
End-of-Life Emission Reduction,comPrices 2050 Syn Kerosene,,,,,,
CO2 Cap,Methanol Production 2050,0.09431070563115536,0.09431070563115536,0.005189481369861747,0.0,0.0,0.1119933081999158
Buildings demand,Methanol Production 2050,0.09952831387311331,0.09952831387311331,0.005880954711693395,0.0,0.0,0.18007016731800776
Steel Production,Methanol Production 2050,0.09280032663306423,0.09280032663306423,0.005637102355972225,0.0,0.0,0.09228660476420711
Chemical Production,Methanol Production 2050,0.1623701180963025,0.1623701180963025,0.0065044386583263045,0.0,0.0,1.0
Passenger Cars,Methanol Production 2050,0.09225660418955915,0.09225660418955915,0.0059539481142792585,0.0,0.0,0.08519237413796338
Bunker aviation,Methanol Production 2050,0.09348988807789911,0.09348988807789911,0.005447561614651334,0.0,0.0,0.10128367299094626
Bunker navigation,Methanol Production 2050,0.09731434507848075,0.09731434507848075,0.006249492268940985,0.0,0.0,0.1511833604259108
Agriculture neGHG CH4,Methanol Production 2050,0.09668611025349652,0.09668611025349652,0.005157606998716819,0.0,0.0,0.14298645263018844
Agriculture neGHG N2O,Methanol Production 2050,0.10605344594341373,0.10605344594341373,0.005630197308701187,0.0,0.0,0.2652069725508383
Wind offshore Costs,Methanol Production 2050,0.09408401801552575,0.09408401801552575,0.0051067068121361655,0.0,0.0,0.10903559651337458
Wind offshore Potential,Methanol Production 2050,0.09989068400165481,0.09989068400165481,0.005834779386895286,0.0,0.0,0.18479819959742383
Solar PV Costs,Methanol Production 2050,0.08572721315694505,0.08572721315694505,0.004694352771463074,0.0,0.0,0.0
Solar PV Potential,Methanol Production 2050,0.09455263552413175,0.09455263552413175,0.004994332795981461,0.0,0.0,0.11514989383778812
Nuclear Costs,Methanol Production 2050,0.09889298056872532,0.09889298056872532,0.0053693939930912924,0.0,0.0,0.17178064195501838
Nuclear Potential,Methanol Production 2050,0.09463254685879298,0.09463254685879298,0.0056325718969736285,0.0,0.0,0.11619253874698696
Hydrogen Import Potential,Methanol Production 2050,0.10271923183143215,0.10271923183143215,0.00586522313119823,0.0,0.0,0.2217037400648081
Hydrogen Import Price,Methanol Production 2050,0.10369664022119479,0.10369664022119479,0.00659530640937677,0.0,0.0,0.23445649768191565
Biomass Import Potential,Methanol Production 2050,0.10899896484308796,0.10899896484308796,0.00699709070484851,0.0,0.0,0.3036386956438608
