Parameter,Outcome,delta_raw_400,delta_400,delta_conf_400,S1_400,S1_conf_400,delta_400_norm,delta_raw_800,delta_800,delta_conf_800,S1_800,S1_conf_800,delta_800_norm,delta_raw_1200,delta_1200,delta_conf_1200,S1_1200,S1_conf_1200,delta_1200_norm,delta_raw_1600,delta_1600,delta_conf_1600,S1_1600,S1_conf_1600,delta_1600_norm,delta_raw_2000,delta_2000,delta_conf_2000,S1_2000,S1_conf_2000,delta_2000_norm,delta_raw_2400,delta_2400,delta_conf_2400,S1_2400,S1_conf_2400,delta_2400_norm,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm,delta_raw_3200,delta_3200,delta_conf_3200,S1_3200,S1_conf_3200,delta_3200_norm,delta_raw_3600,delta_3600,delta_conf_3600,S1_3600,S1_conf_3600,delta_3600_norm,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
End-of-Life Emission Reduction,Biomass Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.06685359959260061,0.06685359959260061,0.012559967348837223,0.0,0.0,0.08291852221082399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 Cap,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.0594279083361227,0.0594279083361227,0.006550359952251926,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings demand,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.08499578186748925,0.08499578186748925,0.005837649716530213,0.0,0.0,0.07343795508427453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Production,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.07873652296871489,0.07873652296871489,0.006219958803768455,0.0,0.0,0.05545964440055186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical Production,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.4075840287240864,0.4075840287240864,0.04231922028438908,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger Cars,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.07297316377647503,0.07297316377647503,0.00668194782646527,0.0,0.0,0.03890569387451335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker aviation,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.07290496594077088,0.07290496594077088,0.0065048370237450635,0.0,0.0,0.038709810959606794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker navigation,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.0665118527006376,0.0665118527006376,0.006936464005350253,0.0,0.0,0.020347033843957675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG CH4,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.06073182179284589,0.06073182179284589,0.006851845485849755,0.0,0.0,0.0037451975719116765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG N2O,BioFuel Imports 2050,,,,,,,,,,,,,,,,,,,,,,,,,0.07666273861390492,0.07666273861390492,0.006439061435362966,0.0,0.0,0.04950316616171156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
