Parameter,Outcome,S1_400,S1_conf_400,delta_400,delta_conf_400,delta_raw_400,S1_800,S1_conf_800,delta_800,delta_conf_800,delta_raw_800,S1_1200,S1_conf_1200,delta_1200,delta_conf_1200,delta_raw_1200,S1_1600,S1_conf_1600,delta_1600,delta_conf_1600,delta_raw_1600,S1_2000,S1_conf_2000,delta_2000,delta_conf_2000,delta_raw_2000,S1_2400,S1_conf_2400,delta_2400,delta_conf_2400,delta_raw_2400,S1_2800,S1_conf_2800,delta_2800,delta_conf_2800,delta_raw_2800,S1_3200,S1_conf_3200,delta_3200,delta_conf_3200,delta_raw_3200,S1_3600,S1_conf_3600,delta_3600,delta_conf_3600,delta_raw_3600,S1_4000,S1_conf_4000,delta_4000,delta_conf_4000,delta_raw_4000
Wind offshore Costs,Storage Flexibility Capacity 2050,0.0,0.0,0.1105497072669395,0.0258751397239078,0.1105497072669395,0.0,0.0,0.0505054571719731,0.0201788818053897,0.0505054571719731,0.0,0.0,0.0787042061129796,0.0149548655742894,0.0787042061129796,0.0,0.0,0.0631228871186018,0.0127451516936337,0.0631228871186018,0.0,0.0,0.0553859486409316,0.0106199755992915,0.0553859486409316,0.0,0.0,0.073921618681253,0.0088835716591772,0.073921618681253,0.0,0.0,0.063425577341381,0.0116676647794887,0.063425577341381,0.0,0.0,0.0597191854197569,0.0099515620443096,0.0597191854197569,0.0,0.0,0.0722290895712929,0.0082643857786117,0.0722290895712929,0.0,0.0,0.0522722939986947,0.0089017597471914,0.0522722939986947
Wind offshore Costs,SynFuel Production 2050,0.0,0.0,0.0780765603618007,0.0168751978442225,0.0780765603618007,0.0,0.0,0.0514548089653447,0.0137323207497851,0.0514548089653447,0.0,0.0,0.0973782616597047,0.0098535381188836,0.0973782616597047,0.0,0.0,0.0648613831567435,0.0064639895106243,0.0648613831567435,0.0,0.0,0.0943679104160905,0.0068652877344337,0.0943679104160905,0.0,0.0,0.0826277454752099,0.0070740758440553,0.0826277454752099,0.0,0.0,0.0837782161543577,0.0062561297085537,0.0837782161543577,0.0,0.0,0.0855225937337222,0.0057662656140712,0.0855225937337222,0.0,0.0,0.0783468994855767,0.0049847717405869,0.0783468994855767,0.0,0.0,0.0814791743913625,0.0049441209604781,0.0814791743913625
Wind offshore Costs,Weekly Flexibility Capacity 2050,0.0,0.0,0.0910470916602481,0.0151500340250697,0.0910470916602481,0.0,0.0,0.1074324555280461,0.0158234858551926,0.1074324555280461,0.0,0.0,0.0926394088250783,0.0124029125872725,0.0926394088250783,0.0,0.0,0.1172653012114951,0.0121833747995825,0.1172653012114951,0.0,0.0,0.1148105907198351,0.0106276564879394,0.1148105907198351,0.0,0.0,0.1296204836404172,0.0087741290612702,0.1296204836404172,0.0,0.0,0.1113927763933135,0.0080603499593672,0.1113927763933135,0.0,0.0,0.124482425153578,0.0072343941521062,0.124482425153578,0.0,0.0,0.113896428371694,0.0069024219509993,0.113896428371694,0.0,0.0,0.1146844610695674,0.0068633403149213,0.1146844610695674
Wind offshore Costs,comPrices 2050 Ammonia,0.0,0.0,0.0967098443172725,0.0286664392226331,0.0967098443172725,0.0,0.0,0.0866830429400644,0.0174057914367702,0.0866830429400644,0.0,0.0,0.0499735498507966,0.2174281002923287,-0.0499735498507966,0.0,0.0,0.0901138920281182,0.0227290095727569,0.0901138920281182,0.0,0.0,0.1013907506436183,0.0126345791547927,0.1013907506436183,0.0,0.0,0.030001576995953,0.1551604088514861,-0.030001576995953,0.0,0.0,0.1810606579405508,0.1005706422803607,0.1810606579405508,0.0,0.0,0.0947653467022723,0.0092049743371203,0.0947653467022723,0.0,0.0,0.2410584106862392,0.0841052710685747,0.2410584106862392,0.0,0.0,0.0816453073679923,0.0906327128700858,0.0816453073679923
Wind offshore Costs,comPrices 2050 Bio Kerosene,0.0,0.0,0.0738998764960697,0.0275023101351246,0.0738998764960697,0.0,0.0,0.0430299164786021,0.0169769502900665,0.0430299164786021,0.0,0.0,0.0473407934731112,0.1505298365247368,0.0473407934731112,0.0,0.0,0.0668376617251915,0.0137796819405454,0.0668376617251915,0.0,0.0,0.0701863906854026,0.0125833024871171,0.0701863906854026,0.0,0.0,0.0636417649741777,0.0110777843840274,0.0636417649741777,0.0,0.0,0.1713307761791251,0.0628354360329665,0.1713307761791251,0.0,0.0,0.0360908438106701,0.0592870480173454,0.0360908438106701,0.0,0.0,0.1303016113582443,0.054269316177534,0.1303016113582443,0.0,0.0,0.0492924035532554,0.0448853924770745,0.0492924035532554
Wind offshore Costs,comPrices 2050 Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Costs,comPrices 2050 Syn Kerosene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Costs,techStocks 2050 EPB01_02,0.0,0.0,0.0389094209879071,0.0232440106358924,0.0389094209879071,0.0,0.0,0.0496452986700954,0.0186300796157812,0.0496452986700954,0.0,0.0,0.030420303213888,0.0129963946842402,0.030420303213888,0.0,0.0,0.046563982315177,0.0131999473228599,0.046563982315177,0.0,0.0,0.0448575212973083,0.0112692995839257,0.0448575212973083,0.0,0.0,0.0542226592239639,0.0093259480769783,0.0542226592239639,0.0,0.0,0.0545012307299994,0.0083047062548161,0.0545012307299994,0.0,0.0,0.0453375407213408,0.0073349663169905,0.0453375407213408,0.0,0.0,0.0422484838586427,0.007983060386607,0.0422484838586427,0.0,0.0,0.0429146238222778,0.0072265729127995,0.0429146238222778
Wind offshore Costs,techStocks 2050 Hyd03_01,0.0,0.0,0.0725407237768764,0.0235589200065246,0.0725407237768764,0.0,0.0,0.0715990010055787,0.0193693739478683,0.0715990010055787,0.0,0.0,0.0631228113982489,0.0135928131981795,0.0631228113982489,0.0,0.0,0.0488417020173791,0.0106803947370592,0.0488417020173791,0.0,0.0,0.0513714385745656,0.0114518672274119,0.0513714385745656,0.0,0.0,0.0639878489583169,0.0102424650074438,0.0639878489583169,0.0,0.0,0.063955330156213,0.009854873159371,0.063955330156213,0.0,0.0,0.0663578251998927,0.0074681666072735,0.0663578251998927,0.0,0.0,0.052959071194945,0.0083882690747839,0.052959071194945,0.0,0.0,0.0607270645706161,0.0080770369879619,0.0607270645706161
Wind offshore Costs,techUseNet 2050 PEU01_03,0.0,0.0,0.0705228580638098,0.0135812386282415,0.0705228580638098,0.0,0.0,0.0975813433579681,0.0125120573647969,0.0975813433579681,0.0,0.0,0.0516091664017594,0.0090884288575178,0.0516091664017594,0.0,0.0,0.0671542977246271,0.0097712260278185,0.0671542977246271,0.0,0.0,0.0643434926776486,0.0076257299664145,0.0643434926776486,0.0,0.0,0.0741227076631052,0.0079097375583796,0.0741227076631052,0.0,0.0,0.0794543864127161,0.0067644321579989,0.0794543864127161,0.0,0.0,0.0673406213434076,0.0077914168003372,0.0673406213434076,0.0,0.0,0.0677362433301968,0.005684521772421,0.0677362433301968,0.0,0.0,0.0826745734103825,0.0054104452973349,0.0826745734103825
