Parameter,Outcome,delta_raw_3200,delta_3200,delta_conf_3200,S1_3200,S1_conf_3200,delta_3200_norm
Ammonia Import Price,BioEnergy Imports 2050,0.07271078755727876,0.07271078755727876,0.009732459094706991,0.0,0.0,0.08403873972211647
CCS potential,BioEnergy Imports 2050,0.08204383479788784,0.08204383479788784,0.011925027578568238,0.0,0.0,0.11652916436649505
Flexibility Costs,BioEnergy Imports 2050,0.06291643416762939,0.06291643416762939,0.0092152947827678,0.0,0.0,0.04994240520854018
LNG Price,BioEnergy Imports 2050,0.05248050104160796,0.05248050104160796,0.00863194916586702,0.0,0.0,0.013612588152707284
Electricity Trade Price,BioEnergy Imports 2050,0.060704559755941426,0.060704559755941426,0.00847768668053359,0.0,0.0,0.04224237572802004
Weather Conditions,BioEnergy Imports 2050,0.061754629307638316,0.061754629307638316,0.009499348901551281,0.0,0.0,0.045897902670208504
Electricity Trade Ratio,BioEnergy Imports 2050,0.07558233638475065,0.07558233638475065,0.008388146190043893,0.0,0.0,0.09403524337053691
Electricity Trade Volume,BioEnergy Imports 2050,0.0570354182687618,0.0570354182687618,0.007848479647540816,0.0,0.0,0.029469273661197858
WACC,BioEnergy Imports 2050,0.07690705100313945,0.07690705100313945,0.010375844040267427,0.0,0.0,0.0986468712102412
Bunker Emission Reduction,BioEnergy Imports 2050,0.09574944512255383,0.09574944512255383,0.011872352726042722,0.0,0.0,0.16424145896640083
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.05323453228087514,0.05323453228087514,0.007231473839409667,0.0,0.0,0.01623753952467943
CO2 Cap,BioFuel Production 2050,0.08589178866005982,0.08589178866005982,0.010178409737359166,0.0,0.0,0.2044832462386848
Buildings demand,BioFuel Production 2050,0.06882049235072046,0.06882049235072046,0.009332581756777826,0.0,0.0,0.08370322305731666
Steel Production,BioFuel Production 2050,0.08046146918112208,0.08046146918112208,0.010112978024394943,0.0,0.0,0.16606354449702387
Chemical Production,BioFuel Production 2050,0.09217301932627699,0.09217301932627699,0.00965155814624677,0.0,0.0,0.24892317462644226
Passenger Cars,BioFuel Production 2050,0.06610602397339725,0.06610602397339725,0.008674564797185489,0.0,0.0,0.06449826359803844
Bunker aviation,BioFuel Production 2050,0.07276133259507125,0.07276133259507125,0.009889779140162305,0.0,0.0,0.11158480670754951
Bunker navigation,BioFuel Production 2050,0.08250804018550212,0.08250804018550212,0.010937334359431167,0.0,0.0,0.18054310649818875
Agriculture neGHG CH4,BioFuel Production 2050,0.07586675679259215,0.07586675679259215,0.008808331383143209,0.0,0.0,0.13355579237659684
Agriculture neGHG N2O,BioFuel Production 2050,0.06165190535760824,0.06165190535760824,0.007865734830304671,0.0,0.0,0.032985217375927675
Wind offshore Costs,BioFuel Production 2050,0.06651279756850408,0.06651279756850408,0.009035294854115129,0.0,0.0,0.06737620112289368
Wind offshore Potential,BioFuel Production 2050,0.06458772740070746,0.06458772740070746,0.010176231366101478,0.0,0.0,0.053756261823671665
Solar PV Costs,BioFuel Production 2050,0.07073212575860183,0.07073212575860183,0.009223807455089944,0.0,0.0,0.09722809680646921
Solar PV Potential,BioFuel Production 2050,0.05698970705013767,0.05698970705013767,0.008176638293750177,0.0,0.0,0.0
Nuclear Costs,BioFuel Production 2050,0.06698643801369489,0.06698643801369489,0.008319802857141503,0.0,0.0,0.07072722396926555
Nuclear Potential,BioFuel Production 2050,0.06706379208103569,0.06706379208103569,0.009431246471918325,0.0,0.0,0.0712745067225667
Hydrogen Import Potential,BioFuel Production 2050,0.05708432802072938,0.05708432802072938,0.009389940878912612,0.0,0.0,0.0006694467024895948
Hydrogen Import Price,BioFuel Production 2050,0.06057019999906024,0.06057019999906024,0.010291471418216234,0.0,0.0,0.025332113832211293
Biomass Import Potential,BioFuel Production 2050,0.17028111717623914,0.17028111717623914,0.011946079338832117,0.0,0.0,0.8015407203607933
Biomass Import Price,BioFuel Production 2050,0.1983317589861968,0.1983317589861968,0.013337290097421874,0.0,0.0,1.0
Ammonia Import Potential,BioFuel Production 2050,0.09973831457757147,0.09973831457757147,0.011356708485661053,0.0,0.0,0.3024479052191246
