kpi,parameter,delta,ci_lo,ci_hi
elec_price_lv,Bunker navigation,0.054568576315228136,0.07042832616566723,0.07781875987537717
elec_price_lv,Agriculture neGHG CH4,0.055154109809964096,0.06956057312221067,0.08042398644393245
elec_price_lv,Agriculture neGHG N2O,0.05006832550422717,0.06705435603250638,0.07468510126424314
elec_price_lv,Wind offshore Costs,0.05270506876027681,0.06771841753056065,0.0786710304058516
elec_price_lv,Wind offshore Potential,0.05454029757194351,0.06967647491142923,0.07938344993407907
elec_price_lv,Solar PV Costs,0.049076928555193286,0.06638942708511116,0.07512236236368972
elec_price_lv,Solar PV Potential,0.05343947865315693,0.06901296446953724,0.07963754045034632
elec_price_lv,Nuclear Costs,0.0538559775102706,0.07006701678891945,0.07873368164816708
elec_price_lv,Nuclear Potential,0.06010263487888843,0.07395812056528758,0.0822805860526482
elec_price_lv,Hydrogen Import Potential,0.05107939272571078,0.06760850255087157,0.07701814848091248
elec_price_lv,Hydrogen Import Price,0.05598913991881487,0.07081739489535838,0.07999225187972785
elec_price_lv,Biomass Import Potential,0.05943840558583339,0.07440692048189419,0.08636009519150983
elec_price_lv,Biomass Import Price,0.07110486756744648,0.08370433522378898,0.09556629757274457
elec_price_lv,Ammonia Import Potential,0.06721619565636322,0.08078932601341174,0.0891140469630363
elec_price_lv,Ammonia Import Price,0.06617050057683924,0.07876056751612102,0.08768033974709528
elec_price_lv,CCS potential,0.06631691096068923,0.07756861167993777,0.08987779799010792
elec_price_lv,Flexibility Costs,0.04988231803017512,0.0666841919453763,0.07672464601333157
elec_price_lv,LNG Price,0.04622168271253113,0.06436845437196556,0.0725854712280246
elec_price_lv,Electricity Trade Price,0.051143207341040525,0.06837246369822511,0.07668665369875385
elec_price_lv,Weather Conditions,0.09616787466415803,0.10371480605280045,0.11413529685297975
elec_price_lv,Electricity Trade Ratio,0.07309128127191557,0.0827136816843177,0.09463364085839313
elec_price_lv,Electricity Trade Volume,0.08557044275037579,0.09580447637955276,0.10701085071269562
