kpi,parameter,delta,delta_unclipped,raw,noise_floor,floor_sd,classes,significant
elec_price_lv,Wind offshore Potential,0.004270845996746896,0.004270845996746896,0.054830741714225174,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Solar PV Costs,0.0,-0.002317111334702582,0.0482427843827757,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Solar PV Potential,0.0026255428556898053,0.0026255428556898053,0.053185438573168084,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Nuclear Costs,0.0015133434229460188,0.0015133434229460188,0.0520732391404243,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Nuclear Potential,0.008168904730734283,0.008168904730734283,0.05872880044821256,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Hydrogen Import Potential,0.0,-0.0010879956128433607,0.04947190010463492,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Hydrogen Import Price,0.004886194054157696,0.004886194054157696,0.055446089771635974,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Biomass Import Potential,0.007480809772953331,0.007480809772953331,0.05804070549043161,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Biomass Import Price,0.01869256904475028,0.01869256904475028,0.06925246476222856,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Ammonia Import Potential,0.015892828878304857,0.015892828878304857,0.06645272459578314,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Ammonia Import Price,0.014517042240259986,0.014517042240259986,0.06507693795773827,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,CCS potential,0.015621800651235876,0.015621800651235876,0.06618169636871415,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Flexibility Costs,0.0,-0.0015167683001623966,0.04904312741731588,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,LNG Price,0.0,-0.004741350077171268,0.04581854564030701,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Electricity Trade Price,0.000499128043452729,0.000499128043452729,0.05105902376093101,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Weather Conditions,0.04537588596170582,0.04537588596170582,0.0959357816791841,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Electricity Trade Ratio,0.020613125663072523,0.020613125663072523,0.0711730213805508,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,Electricity Trade Volume,0.03478793588699057,0.03478793588699057,0.08534783160446885,0.05055989571747828,0.002353914128410441,13,True
elec_price_lv,WACC,0.0026958679263448734,0.0026958679263448734,0.05325576364382315,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,Bunker Emission Reduction,0.0,-0.0004556608114148278,0.05010423490606345,0.05055989571747828,0.002353914128410441,13,False
elec_price_lv,End-of-Life Emission Reduction,0.02063437335704288,0.02063437335704288,0.07119426907452116,0.05055989571747828,0.002353914128410441,13,True
electricity_share_supply,CO2 Cap,0.007658463499584524,0.007658463499584524,0.04754449467678207,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Buildings demand,0.021107856228604248,0.021107856228604248,0.06099388740580179,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Steel Production,0.0,-0.0029240615702776918,0.03696196960691985,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Chemical Production,0.0033472768804200387,0.0033472768804200387,0.04323330805761758,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Passenger Cars,0.0014739089613526601,0.0014739089613526601,0.041359940138550204,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Bunker aviation,0.0005987725670994898,0.0005987725670994898,0.040484803744297033,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Bunker navigation,0.0022695766682642032,0.0022695766682642032,0.04215560784546175,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Agriculture neGHG CH4,0.003052442903744665,0.003052442903744665,0.04293847408094221,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Agriculture neGHG N2O,0.001022348733135274,0.001022348733135274,0.04090837991033282,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Wind offshore Costs,0.031195645172359808,0.031195645172359808,0.07108167634955735,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Wind offshore Potential,0.014382638114631086,0.014382638114631086,0.05426866929182863,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Solar PV Costs,0.005174185505294603,0.005174185505294603,0.045060216682492146,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Solar PV Potential,0.0,-0.002126976532141993,0.03775905464505555,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Nuclear Costs,0.03166667494876398,0.03166667494876398,0.07155270612596153,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Nuclear Potential,0.0011906798226400742,0.0011906798226400742,0.04107671099983762,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Hydrogen Import Potential,0.0031804286768743334,0.0031804286768743334,0.04306645985407188,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,Hydrogen Import Price,0.026070589854665684,0.026070589854665684,0.06595662103186323,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Biomass Import Potential,0.05315667735473852,0.05315667735473852,0.09304270853193607,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Biomass Import Price,0.09542286899175337,0.09542286899175337,0.13530890016895092,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Ammonia Import Potential,0.04356077567024553,0.04356077567024553,0.08344680684744307,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Ammonia Import Price,0.031123349238278357,0.031123349238278357,0.0710093804154759,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,CCS potential,0.07769765780233887,0.07769765780233887,0.11758368897953642,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Flexibility Costs,0.0023798183637465664,0.0023798183637465664,0.04226584954094411,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,LNG Price,0.004366676099256839,0.004366676099256839,0.04425270727645438,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Electricity Trade Price,0.00466597921459002,0.00466597921459002,0.044552010391787564,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Weather Conditions,0.045368534266646506,0.045368534266646506,0.08525456544384405,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Electricity Trade Ratio,0.06479752631047758,0.06479752631047758,0.10468355748767513,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Electricity Trade Volume,0.0408179545450501,0.0408179545450501,0.08070398572224764,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,WACC,0.05127532283346347,0.05127532283346347,0.09116135401066101,0.039886031177197544,0.0021352064453523086,13,True
electricity_share_supply,Bunker Emission Reduction,0.0012515457612481407,0.0012515457612481407,0.041137576938445684,0.039886031177197544,0.0021352064453523086,13,False
electricity_share_supply,End-of-Life Emission Reduction,0.01787298450963027,0.01787298450963027,0.057759015686827814,0.039886031177197544,0.0021352064453523086,13,True
feedstock_co2_price,CO2 Cap,0.00019811656018812324,0.00019811656018812324,0.04370539195833433,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Buildings demand,0.0019449008548971108,0.0019449008548971108,0.04545217625304332,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Steel Production,0.0,-0.0030290502601928934,0.040478225137953315,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Chemical Production,0.0690937383005257,0.0690937383005257,0.11260101369867191,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Passenger Cars,0.0033505570912178567,0.0033505570912178567,0.046857832489364065,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Bunker aviation,0.005305531673576898,0.005305531673576898,0.048812807071723106,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Bunker navigation,0.0038414152363500723,0.0038414152363500723,0.04734869063449628,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Agriculture neGHG CH4,0.0,-0.0014631726233113249,0.042044102774834884,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Agriculture neGHG N2O,0.0,-0.0028096370344056695,0.04069763836374054,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Wind offshore Costs,0.008785833748145067,0.008785833748145067,0.052293109146291275,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Wind offshore Potential,0.0,-0.0010216064685598242,0.042485668929586384,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Solar PV Costs,0.0,-0.004638464639272741,0.03886881075887347,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Solar PV Potential,0.0,-0.0023459423061481174,0.04116133309199809,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Nuclear Costs,0.001492705144686246,0.001492705144686246,0.044999980542832455,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Nuclear Potential,0.0,-0.004809174499683662,0.03869810089846255,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Hydrogen Import Potential,9.084749968394507e-05,9.084749968394507e-05,0.043598122897830154,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Hydrogen Import Price,0.004462204146582806,0.004462204146582806,0.047969479544729014,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Biomass Import Potential,0.008378086250013114,0.008378086250013114,0.05188536164815932,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Biomass Import Price,0.024883691858395063,0.024883691858395063,0.06839096725654127,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Ammonia Import Potential,0.011412094513616515,0.011412094513616515,0.054919369911762723,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Ammonia Import Price,0.010919595229133508,0.010919595229133508,0.054426870627279716,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,CCS potential,0.014919130870733044,0.014919130870733044,0.05842640626887925,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Flexibility Costs,0.004122495912270041,0.004122495912270041,0.04762977131041625,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,LNG Price,0.0,-0.0037853743178599686,0.03972190108028624,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Electricity Trade Price,0.0020246633057235536,0.0020246633057235536,0.04553193870386976,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Weather Conditions,0.0033894653574413625,0.0033894653574413625,0.04689674075558757,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Electricity Trade Ratio,0.0030948053070016454,0.0030948053070016454,0.046602080705147854,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,Electricity Trade Volume,0.0041435788543182014,0.0041435788543182014,0.04765085425246441,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,WACC,0.00904625078756438,0.00904625078756438,0.05255352618571059,0.04350727539814621,0.0023537269627835126,13,True
feedstock_co2_price,Bunker Emission Reduction,0.003819821912920046,0.003819821912920046,0.047327097311066255,0.04350727539814621,0.0023537269627835126,13,False
feedstock_co2_price,End-of-Life Emission Reduction,0.4082406123043732,0.4082406123043732,0.4517478877025194,0.04350727539814621,0.0023537269627835126,13,True
flex_be_use,CO2 Cap,0.022822986497847766,0.022822986497847766,0.05921630246933214,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Buildings demand,0.1550675450392836,0.1550675450392836,0.19146086101076798,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Steel Production,0.0,-3.5117445056180585e-05,0.036358198526428194,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Chemical Production,0.011193729740357011,0.011193729740357011,0.047587045711841386,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Passenger Cars,0.0014614617338904665,0.0014614617338904665,0.03785477770537484,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Bunker aviation,0.005125528027181699,0.005125528027181699,0.04151884399866607,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Bunker navigation,0.02534519355760073,0.02534519355760073,0.061738509529085106,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Agriculture neGHG CH4,0.0040169369045426895,0.0040169369045426895,0.040410252876027064,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Agriculture neGHG N2O,0.0,-0.0008313137172556023,0.03556200225422877,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Wind offshore Costs,0.00890789867328156,0.00890789867328156,0.045301214644765934,0.036393315971484375,0.002282200160298888,13,True
flex_be_use,Wind offshore Potential,0.0026327889477570504,0.0026327889477570504,0.039026104919241425,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Solar PV Costs,0.002613915565662768,0.002613915565662768,0.03900723153714714,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Solar PV Potential,0.0,-0.004358388015178315,0.03203492795630606,0.036393315971484375,0.002282200160298888,13,False
flex_be_use,Nuclear Costs,0.0023538725961866486,0.0023538725961866486,0.03874718856767102,0.036393315971484375,0.002282200160298888,13,False
