driver,kpi,n_narrow,overlap_narrowed,overlap_random,delta_vs_control,verdict
Bunker Emission Reduction,co2_price,4993,1.0,0.975,0.025000000000000022,stable
Bunker Emission Reduction,elec_generation,4993,0.8,0.9,-0.09999999999999998,stable
Bunker Emission Reduction,vre_share,4993,0.8,0.85,-0.04999999999999993,stable
Bunker Emission Reduction,import_dependency,4993,1.0,1.0,0.0,stable
Bunker Emission Reduction,self_sufficiency,4993,1.0,0.95,0.050000000000000044,stable
Bunker Emission Reduction,biomass_imports,4993,0.8,0.9249999999999999,-0.12499999999999989,stable
Bunker Emission Reduction,net_h2_imports,4993,0.8,0.875,-0.07499999999999996,stable
Bunker Emission Reduction,fossil_imports,4993,0.8,0.975,-0.17499999999999993,SHIFTS
Bunker Emission Reduction,net_elec_imports,4993,1.0,0.9,0.09999999999999998,stable
Bunker Emission Reduction,ccs_volume,4993,0.4,0.375,0.025000000000000022,stable
Bunker Emission Reduction,res_share_primary,4993,1.0,1.0,0.0,stable
Bunker Emission Reduction,flex_use_total,4993,0.8,0.9249999999999999,-0.12499999999999989,stable
Bunker Emission Reduction,unserved_energy,4993,1.0,0.825,0.17500000000000004,stable
Bunker Emission Reduction,wind_capacity,4993,0.8,0.875,-0.07499999999999996,stable
Bunker Emission Reduction,solar_capacity,4993,0.8,0.925,-0.125,stable
