kpi,parameter,mu_star,sigma,n_eff
elec_price_hv,Biomass Import Price,15611.40491288625,90245.98256593134,95
elec_price_hv,Ammonia Import Potential,7805.228942913897,42175.031858632006,94
elec_price_hv,Ammonia Import Price,11493.91551773652,78457.50284745981,90
elec_price_hv,CCS potential,6066.337358095526,45642.11945883791,83
elec_price_hv,Flexibility Costs,61554.93207347141,254437.02717422938,81
elec_price_hv,LNG Price,9376.0978153825,90994.00753329674,125
elec_price_hv,Electricity Trade Price,37240.292923264125,201875.29216964866,123
elec_price_hv,Weather Conditions,26525.1870348229,172594.21779391004,116
elec_price_hv,Electricity Trade Ratio,41404.36787712039,206134.56737328347,87
elec_price_hv,Electricity Trade Volume,5694.192760362205,39913.97668283186,95
elec_price_hv,WACC,95417.7620468722,308747.7286154517,103
elec_price_hv,Bunker Emission Reduction,32359.93736557483,166255.91415960802,83
elec_price_hv,End-of-Life Emission Reduction,15389.488840756634,94421.70452946871,89
elec_price_lv,CO2 Cap,90.92698129532312,199.34578781796793,103
elec_price_lv,Buildings demand,103.30178131602797,326.30897837206726,79
elec_price_lv,Steel Production,131.92202604765328,417.4795869027506,86
elec_price_lv,Chemical Production,118.1636058989601,307.39916115716153,97
elec_price_lv,Passenger Cars,73.54822559784787,187.22548834138777,94
elec_price_lv,Bunker aviation,62.79705461094804,122.30777211790259,98
elec_price_lv,Bunker navigation,93.79243818319523,252.99301710804335,102
elec_price_lv,Agriculture neGHG CH4,97.20164193996888,312.4290372146958,101
elec_price_lv,Agriculture neGHG N2O,67.00128500102748,161.1374138150421,105
elec_price_lv,Wind offshore Costs,70.15276247065876,145.2824841308684,104
elec_price_lv,Wind offshore Potential,70.98133655864657,202.11962610031367,85
elec_price_lv,Solar PV Costs,147.21634053779601,437.38679350433057,97
elec_price_lv,Solar PV Potential,140.0847825872512,428.41799786019953,88
elec_price_lv,Nuclear Costs,119.04451080805521,416.7770200556154,84
elec_price_lv,Nuclear Potential,95.34155668735653,317.0106147694981,84
elec_price_lv,Hydrogen Import Potential,89.05844176615982,217.53642365465313,86
elec_price_lv,Hydrogen Import Price,66.9110488353039,184.500433764196,111
elec_price_lv,Biomass Import Potential,117.26839023776805,317.5017161374978,103
elec_price_lv,Biomass Import Price,64.01503893615637,143.72198802135813,95
elec_price_lv,Ammonia Import Potential,65.74690980439173,128.7127157446476,94
elec_price_lv,Ammonia Import Price,53.93999960141457,107.68781659733443,90
elec_price_lv,CCS potential,128.84812223741608,388.21727194778805,83
elec_price_lv,Flexibility Costs,97.68143393156197,353.8696478254161,81
elec_price_lv,LNG Price,78.11608823792086,175.376356580696,125
elec_price_lv,Electricity Trade Price,74.20571425870254,184.05769343504159,123
elec_price_lv,Weather Conditions,170.4583663459523,413.835859601866,116
elec_price_lv,Electricity Trade Ratio,128.46156306900397,384.9655825170372,87
elec_price_lv,Electricity Trade Volume,107.27319429801072,263.8702513476533,95
elec_price_lv,WACC,148.290015307346,406.25908377112876,103
elec_price_lv,Bunker Emission Reduction,127.28816797051049,321.0138956892569,83
elec_price_lv,End-of-Life Emission Reduction,106.70152854330178,232.52736281748912,89
elec_price_hv_std,CO2 Cap,8.485719763809008,22.699841290130315,103
elec_price_hv_std,Buildings demand,8.241389330127255,14.991534469130018,79
elec_price_hv_std,Steel Production,8.73828483250644,15.202068615210134,86
elec_price_hv_std,Chemical Production,8.339965777756603,15.85015249207246,97
elec_price_hv_std,Passenger Cars,5.1509011541664345,8.674324311933077,94
elec_price_hv_std,Bunker aviation,7.452177500425704,13.716075291568147,98
elec_price_hv_std,Bunker navigation,8.899751665112365,13.08248624483014,102
elec_price_hv_std,Agriculture neGHG CH4,8.060330283066865,18.423604699968077,101
elec_price_hv_std,Agriculture neGHG N2O,6.8428409719532715,11.78373264455978,105
elec_price_hv_std,Wind offshore Costs,6.933972014902287,10.311665507587485,104
elec_price_hv_std,Wind offshore Potential,8.606860888277494,16.83212623197077,85
elec_price_hv_std,Solar PV Costs,8.417518706903591,16.44437762941224,97
elec_price_hv_std,Solar PV Potential,8.168247990001644,27.01783670272738,88
elec_price_hv_std,Nuclear Costs,8.489781543132345,19.370877089053785,84
elec_price_hv_std,Nuclear Potential,8.841931712734604,15.390897875802542,84
elec_price_hv_std,Hydrogen Import Potential,14.764351091249177,40.35450566816081,86
elec_price_hv_std,Hydrogen Import Price,5.918273885899748,8.621212131922068,111
elec_price_hv_std,Biomass Import Potential,8.716712170818049,20.323943498216348,103
elec_price_hv_std,Biomass Import Price,11.660093332443447,26.156076180012057,95
elec_price_hv_std,Ammonia Import Potential,10.270822632143524,15.148325088848502,94
elec_price_hv_std,Ammonia Import Price,6.562549686455847,11.040339559827995,90
elec_price_hv_std,CCS potential,11.865581498061646,21.385125077081828,83
elec_price_hv_std,Flexibility Costs,9.128030092319877,15.716321137090913,81
elec_price_hv_std,LNG Price,5.398612367534664,9.154596178316696,125
elec_price_hv_std,Electricity Trade Price,12.1561813071705,27.981897153511042,123
elec_price_hv_std,Weather Conditions,21.487442606260508,43.36353389125493,116
elec_price_hv_std,Electricity Trade Ratio,20.25287652391801,27.127186212300554,87
elec_price_hv_std,Electricity Trade Volume,19.675355772140893,42.125554130381374,95
elec_price_hv_std,WACC,8.885629815130427,11.0187467923646,103
elec_price_hv_std,Bunker Emission Reduction,7.225446267325543,11.771113148333145,83
elec_price_hv_std,End-of-Life Emission Reduction,14.932423990333511,34.100808350731654,89
feedstock_co2_price,CO2 Cap,99.01993659319093,334.9509331852476,103
feedstock_co2_price,Buildings demand,40.45477054613695,162.38061600709895,79
feedstock_co2_price,Steel Production,27.677557032937177,135.31617713095818,86
feedstock_co2_price,Chemical Production,550.5074200244271,1777.167874066122,97
feedstock_co2_price,Passenger Cars,0.5424680228545823,1.915764850565358,94
feedstock_co2_price,Bunker aviation,17.05445031072091,54.97920162534319,98
feedstock_co2_price,Bunker navigation,78.04115353122478,253.75984052112477,102
feedstock_co2_price,Agriculture neGHG CH4,22.327083756025015,101.71010420611992,101
feedstock_co2_price,Agriculture neGHG N2O,7.032703712555846,19.123342430966915,105
feedstock_co2_price,Wind offshore Costs,28.306605227587838,135.2021215320947,104
feedstock_co2_price,Wind offshore Potential,53.119867073717344,243.21946020442024,85
feedstock_co2_price,Solar PV Costs,9.370390013586267,36.76211646320895,97
feedstock_co2_price,Solar PV Potential,5.904971796157882,19.70614842875526,88
feedstock_co2_price,Nuclear Costs,7.762860067064681,27.88341327007383,84
feedstock_co2_price,Nuclear Potential,16.130298065282794,65.187576546611,84
feedstock_co2_price,Hydrogen Import Potential,166.8431801578559,1202.843369774786,86
feedstock_co2_price,Hydrogen Import Price,50.4001810808828,194.02119562431767,111
feedstock_co2_price,Biomass Import Potential,287.14518512202625,979.9676175026162,103
feedstock_co2_price,Biomass Import Price,46.815351018552704,212.9740734265238,95
feedstock_co2_price,Ammonia Import Potential,128.41971948850446,439.86564669828397,94
feedstock_co2_price,Ammonia Import Price,68.70869234121551,238.2422876317467,90
feedstock_co2_price,CCS potential,121.65805635781507,361.4951766338846,83
feedstock_co2_price,Flexibility Costs,4.901312421820156,12.761870027319924,81
feedstock_co2_price,LNG Price,21.29635294678893,142.9707903852059,125
feedstock_co2_price,Electricity Trade Price,12.087071893929751,34.63984881539363,123
feedstock_co2_price,Weather Conditions,87.13772478534871,244.64713473975732,116
feedstock_co2_price,Electricity Trade Ratio,21.83204195748028,81.78695807211916,87
feedstock_co2_price,Electricity Trade Volume,88.90247966722686,324.0420936287852,95
feedstock_co2_price,WACC,146.79119986056457,529.5733184192512,103
feedstock_co2_price,Bunker Emission Reduction,105.52157174977093,353.8800125606292,83
feedstock_co2_price,End-of-Life Emission Reduction,1970.62081314395,3379.8249949753936,89
import_dependency,CO2 Cap,0.020019042377303297,0.02563679204259247,103
import_dependency,Buildings demand,0.03169082578208901,0.030664160507555688,79
import_dependency,Steel Production,0.008790991759451887,0.012985666269841777,86
import_dependency,Chemical Production,0.03951391702967873,0.04813116758522406,97
import_dependency,Passenger Cars,0.0039112325288288945,0.0031159778237721115,94
import_dependency,Bunker aviation,0.011147441992378314,0.01516426242494109,98
import_dependency,Bunker navigation,0.032312643905089124,0.04194381398734299,102
import_dependency,Agriculture neGHG CH4,0.014814454964071983,0.019092632485938132,101
import_dependency,Agriculture neGHG N2O,0.007650628087753466,0.011670830072257478,105
import_dependency,Wind offshore Costs,0.03766467469404256,0.0477315831467892,104
import_dependency,Wind offshore Potential,0.034059855372366964,0.07914212114212203,85
import_dependency,Solar PV Costs,0.007889061471865329,0.012364200853141381,97
import_dependency,Solar PV Potential,0.006712139631946303,0.01489022777100944,88
import_dependency,Nuclear Costs,0.0823779572175756,0.11958551770273564,84
import_dependency,Nuclear Potential,0.030934234163668577,0.04942537824414345,84
import_dependency,Hydrogen Import Potential,0.02505133148638959,0.04822788877550314,86
import_dependency,Hydrogen Import Price,0.02824099039753153,0.04771340578540248,111
import_dependency,Biomass Import Potential,0.040440769449709354,0.056459595078643544,103
import_dependency,Biomass Import Price,0.06825471126642917,0.09564755632199592,95
import_dependency,Ammonia Import Potential,0.04973831889066126,0.07697494045352231,94
import_dependency,Ammonia Import Price,0.04505589671375943,0.07836031019744127,90
import_dependency,CCS potential,0.07738171076492872,0.08289810163459932,83
import_dependency,Flexibility Costs,0.0030268760951293783,0.00896192788381631,81
import_dependency,LNG Price,0.006141534082523134,0.013256163788586087,125
import_dependency,Electricity Trade Price,0.02563454952316265,0.05375120994208853,123
import_dependency,Weather Conditions,0.13634869021067006,0.1750511700989583,116
import_dependency,Electricity Trade Ratio,0.07636690945131233,0.10733575711521018,87
import_dependency,Electricity Trade Volume,0.11282051820367678,0.10836113249946254,95
import_dependency,WACC,0.05167963762347449,0.05203654902371054,103
import_dependency,Bunker Emission Reduction,0.03208719278808825,0.0397097056730964,83
import_dependency,End-of-Life Emission Reduction,0.04930441224602794,0.08484478668629247,89
self_sufficiency,CO2 Cap,0.020019042377303294,0.02563679204259247,103
self_sufficiency,Buildings demand,0.03169082578208903,0.03066416050755569,79
self_sufficiency,Steel Production,0.00879099175945188,0.012985666269841765,86
self_sufficiency,Chemical Production,0.03951391702967875,0.04813116758522408,97
self_sufficiency,Passenger Cars,0.003911232528828903,0.0031159778237721076,94
self_sufficiency,Bunker aviation,0.011147441992378314,0.015164262424941097,98
self_sufficiency,Bunker navigation,0.03231264390508912,0.041943813987342975,102
self_sufficiency,Agriculture neGHG CH4,0.014814454964071994,0.019092632485938142,101
self_sufficiency,Agriculture neGHG N2O,0.0076506280877534655,0.011670830072257476,105
self_sufficiency,Wind offshore Costs,0.03766467469404256,0.04773158314678921,104
self_sufficiency,Wind offshore Potential,0.03405985537236696,0.07914212114212203,85
self_sufficiency,Solar PV Costs,0.007889061471865322,0.01236420085314138,97
self_sufficiency,Solar PV Potential,0.006712139631946307,0.01489022777100944,88
self_sufficiency,Nuclear Costs,0.08237795721757557,0.11958551770273564,84
