Parameter,Outcome,Final_Delta,Max_Delta,Converged_At_Size,Max_Relative_Change,Sample_Sizes_Analyzed,Delta_Trajectory
Solar PV Costs,techStocks 2050 EPB01_02,0.05662205812231929,0.07345258319962414,3600.0,0.4604894197227079,10,"[0.03925164773840026, 0.03544614579777942, 0.05176872090760536, 0.06974058420528556, 0.07345258319962414, 0.05999411956368061, 0.053607065527148515, 0.062208530864723194, 0.06268127214735307, 0.05662205812231929]"
Steel Production,DR Flexibility Capacity 2050,0.05657535961880072,0.07813990855359124,,0.8627925249355752,10,"[0.052874859502641564, 0.06882088214590235, 0.07813990855359124, 0.036582847102305804, 0.06814625412303632, 0.06839968955988691, 0.059728497340789624, 0.051112174039527586, 0.04401171569683628, 0.05657535961880072]"
WACC,techStocks 2050 EPB01_02,0.056492035983522995,0.07977539438208088,4000.0,0.9411316742372194,10,"[0.046697745709685254, 0.03730533455280561, 0.07241456651846714, 0.07977539438208088, 0.05582774418958178, 0.05245528121384153, 0.04761473458482184, 0.048672886571802326, 0.05550153636612338, 0.056492035983522995]"
Steel Production,BioEnergy Imports 2050,0.05648198474256041,0.08524701631717681,,0.4733402652820784,10,"[0.05785969359960161, 0.08524701631717681, 0.07242493589825817, 0.05450058393877394, 0.05907730101105876, 0.06630249901705483, 0.06212862523195637, 0.06612899642397528, 0.04995261422725108, 0.05648198474256041]"
Ammonia Import Potential,Biomass Imports 2050,0.05627333994679108,0.09175409839996933,4000.0,0.4115998832705311,10,"[0.0680638975869555, 0.0790108545201423, 0.07839929739230535, 0.0871671524241535, 0.06500007508316348, 0.09175409839996933, 0.08361595225265313, 0.07273801732630775, 0.05249301473051757, 0.05627333994679108]"
Bunker Emission Reduction,CO2 Storage 2050,0.0562219107687195,0.0915221090590285,,0.5428518511178945,10,"[0.0915221090590285, 0.041839162738121057, 0.05461035908441494, 0.06572390488291814, 0.061119321183632606, 0.053574316754531684, 0.058365596274144144, 0.05946604486855907, 0.049133103998874904, 0.0562219107687195]"
Chemical Production,techStocks 2050 Hyd03_01,0.056038794199087166,0.08010291164085186,,0.4974295388089806,10,"[0.05941430113298523, 0.08010291164085186, 0.040257357246086395, 0.05762798203222654, 0.03516453760966993, 0.047615981113956034, 0.04915222468609049, 0.053593363158307074, 0.04879635001917082, 0.056038794199087166]"
Agriculture neGHG CH4,techStocks 2050 Hyd03_01,0.0559557345148593,0.06494790464468041,,0.3360578976347972,10,"[0.05203341382194471, 0.06494790464468041, 0.04538017160361224, 0.05291396427165591, 0.03965804059932608, 0.052985438347451036, 0.04664683294397731, 0.040138962637662166, 0.046919426596082746, 0.0559557345148593]"
Agriculture neGHG CH4,totalCosts,0.055953651307729425,0.08566778795995461,,0.5425224611047781,10,"[0.08481768308378815, 0.056224293383266996, 0.05241026652017476, 0.08084401329985733, 0.07232512708730442, 0.07153387753079818, 0.07422658931193844, 0.08566778795995461, 0.07221660778469316, 0.055953651307729425]"
Agriculture neGHG N2O,Storage Flexibility Capacity 2050,0.05591102303718379,0.1004733892688433,,0.33592385074009745,10,"[0.08571585805868055, 0.1004733892688433, 0.0720642312616221, 0.0478561371955931, 0.05477880916258418, 0.057332886417272085, 0.06474591519875057, 0.07161813334706939, 0.0635140992536569, 0.05591102303718379]"
LNG Import Price,Biomass Imports 2050,0.05590991345183222,0.07261763490039744,2000.0,0.2332205622911214,10,"[0.06764983584499017, 0.07261763490039744, 0.055681709256675385, 0.061360080154897856, 0.057749232035471526, 0.05700094287692106, 0.060734314708792606, 0.058433522878011374, 0.05440764575391527, 0.05590991345183222]"
Flexibility Costs,DR Flexibility Capacity 2050,0.055792595792855025,0.07560345440427364,,0.6493043960991701,10,"[0.070753075711203, 0.05177902877908795, 0.03567050204966633, 0.04258524928442523, 0.07023603885378157, 0.048941729104488706, 0.07560345440427364, 0.054992770401828005, 0.06273434953087711, 0.055792595792855025]"
Agriculture neGHG CH4,CO2 Storage 2050,0.055696581706805276,0.08477343289063956,,0.35891165508801776,10,"[0.08477343289063956, 0.054347259784367115, 0.05444231115860071, 0.05061662116297238, 0.055749632095793276, 0.057513169020696184, 0.041009777078464864, 0.05159458267976103, 0.047808695854932914, 0.055696581706805276]"
CO2 Cap,techStocks 2050 Hyd03_01,0.05557740083839455,0.1073751927831763,,0.6369359735912202,10,"[0.1073751927831763, 0.08797955491159822, 0.03194221144785718, 0.043170107914060216, 0.04739184939287605, 0.04316873090840226, 0.06096839725911075, 0.06394635385697556, 0.06697783693367683, 0.05557740083839455]"
Electricity Trade Ratio,DR Flexibility Capacity 2050,0.055571591777148086,0.07067884734554014,,0.7094729081260943,10,"[0.07067884734554014, 0.04855121558114564, 0.03670182446344116, 0.05902521719650108, 0.047968173833302624, 0.06232558003193818, 0.03581680176102538, 0.047143368387088366, 0.03250802718954175, 0.055571591777148086]"
Nuclear Costs,Biomass Imports 2050,0.055544769674048526,0.08707147842145718,,0.5642339930277406,10,"[0.06502993750539561, 0.06740858901081292, 0.039468856770288295, 0.061738527426028034, 0.06904355561916943, 0.06896467134347285, 0.0613646002691822, 0.07680819036699363, 0.08707147842145718, 0.055544769674048526]"
Chemical Production,comPrices 2050 Bio Kerosene,0.05540251393722824,0.20055563080247196,,1.6081309149688658,10,"[0.07403918012778124, 0.07689630518599411, 0.20055563080247196, 0.1183568105087807, 0.06490741340511921, 0.08101648853559135, 0.09496755033818499, 0.04974827067601264, 0.08655063352794266, 0.05540251393722824]"
